position,code,name,section,section_name
1,00,Logo Panini,wc2026_fwc_pre,FWC Pre
2,FWC 1,Official Emblem 1/2,wc2026_fwc_pre,FWC Pre
3,FWC 2,Official Emblem 2/2,wc2026_fwc_pre,FWC Pre
4,FWC 3,Official Mascots,wc2026_fwc_pre,FWC Pre
5,FWC 4,Official Badge,wc2026_fwc_pre,FWC Pre
6,FWC 5,Official Ball,wc2026_fwc_pre,FWC Pre
7,FWC 6,Host Country Emblem CAN,wc2026_fwc_pre,FWC Pre
8,FWC 7,Host Country Emblem MEX,wc2026_fwc_pre,FWC Pre
9,FWC 8,Host Country Emblem USA,wc2026_fwc_pre,FWC Pre
10,MEX 1,Mexico Badge,wc2026_mex,Mexico
11,MEX 2,Luis Malagón,wc2026_mex,Mexico
12,MEX 3,Johan Vásquez,wc2026_mex,Mexico
13,MEX 4,Jorge Sánchez,wc2026_mex,Mexico
14,MEX 5,César Montes,wc2026_mex,Mexico
15,MEX 6,Jesús Gallardo,wc2026_mex,Mexico
16,MEX 7,Israel Reyes,wc2026_mex,Mexico
17,MEX 8,Diego Lainez,wc2026_mex,Mexico
18,MEX 9,Carlos Rodríguez,wc2026_mex,Mexico
19,MEX 10,Edson Álvarez,wc2026_mex,Mexico
20,MEX 11,Orbelín Pineda,wc2026_mex,Mexico
21,MEX 12,Marcel Ruiz,wc2026_mex,Mexico
22,MEX 13,Mexico Team,wc2026_mex,Mexico
23,MEX 14,Érick Sánchez,wc2026_mex,Mexico
24,MEX 15,Hirving Lozano,wc2026_mex,Mexico
25,MEX 16,Santiago Giménez,wc2026_mex,Mexico
26,MEX 17,Raúl Jiménez,wc2026_mex,Mexico
27,MEX 18,Alexis Vega,wc2026_mex,Mexico
28,MEX 19,Roberto Alvarado,wc2026_mex,Mexico
29,MEX 20,César Huerta,wc2026_mex,Mexico
30,RSA 1,South Africa Badge,wc2026_rsa,South Africa
31,RSA 2,Ronwen Williams,wc2026_rsa,South Africa
32,RSA 3,Sipho Chaine,wc2026_rsa,South Africa
33,RSA 4,Aubrey Modiba,wc2026_rsa,South Africa
34,RSA 5,Samukele Kabini,wc2026_rsa,South Africa
35,RSA 6,Mbekezeli Mbokazi,wc2026_rsa,South Africa
36,RSA 7,Khulumani Ndamane,wc2026_rsa,South Africa
37,RSA 8,Siyabonga Ngezana,wc2026_rsa,South Africa
38,RSA 9,Khuliso Mudau,wc2026_rsa,South Africa
39,RSA 10,Nkosinathi Sibisi,wc2026_rsa,South Africa
40,RSA 11,Teboho Mokoena,wc2026_rsa,South Africa
41,RSA 12,Thalente Mbatha,wc2026_rsa,South Africa
42,RSA 13,South Africa Team,wc2026_rsa,South Africa
43,RSA 14,Bathusi Aubaas,wc2026_rsa,South Africa
44,RSA 15,Yaya Sithole,wc2026_rsa,South Africa
45,RSA 16,Sipho Mbule,wc2026_rsa,South Africa
46,RSA 17,Lyle Foster,wc2026_rsa,South Africa
47,RSA 18,Iqraam Rayners,wc2026_rsa,South Africa
48,RSA 19,Mohau Nkota,wc2026_rsa,South Africa
49,RSA 20,Oswin Appollis,wc2026_rsa,South Africa
50,KOR 1,South Korea Badge,wc2026_kor,South Korea
51,KOR 2,Hyeonwoo Jo,wc2026_kor,South Korea
52,KOR 3,Seunggyu Kim,wc2026_kor,South Korea
53,KOR 4,Minjae Kim,wc2026_kor,South Korea
54,KOR 5,Yumin Cho,wc2026_kor,South Korea
55,KOR 6,Youngwoo Seol,wc2026_kor,South Korea
56,KOR 7,Hanbeom Lee,wc2026_kor,South Korea
57,KOR 8,Taeseok Lee,wc2026_kor,South Korea
58,KOR 9,Myungjae Lee,wc2026_kor,South Korea
59,KOR 10,Jaesung Lee,wc2026_kor,South Korea
60,KOR 11,Inbeom Hwang,wc2026_kor,South Korea
61,KOR 12,Kangin Lee,wc2026_kor,South Korea
62,KOR 13,South Korea Team,wc2026_kor,South Korea
63,KOR 14,Seungho Paik,wc2026_kor,South Korea
64,KOR 15,Jens Castrop,wc2026_kor,South Korea
65,KOR 16,Donggyeong Lee,wc2026_kor,South Korea
66,KOR 17,Guesung Cho,wc2026_kor,South Korea
67,KOR 18,Heungmin Son,wc2026_kor,South Korea
68,KOR 19,Heechan Hwang,wc2026_kor,South Korea
69,KOR 20,Hyeongyu Oh,wc2026_kor,South Korea
70,CZE 1,Czechia Badge,wc2026_cze,Chechia
71,CZE 2,Matej Kovar,wc2026_cze,Chechia
72,CZE 3,Jindrich Stanek,wc2026_cze,Chechia
73,CZE 4,Ladislav Krejci,wc2026_cze,Chechia
74,CZE 5,Vladimir Coufal,wc2026_cze,Chechia
75,CZE 6,Jaroslav Zeleny,wc2026_cze,Chechia
76,CZE 7,Tomas Holes,wc2026_cze,Chechia
77,CZE 8,David Zima,wc2026_cze,Chechia
78,CZE 9,Michal Sadilek,wc2026_cze,Chechia
79,CZE 10,Lukas Provod,wc2026_cze,Chechia
80,CZE 11,Lukas Cerv,wc2026_cze,Chechia
81,CZE 12,Toimas Soucek,wc2026_cze,Chechia
82,CZE 13,Czechia Team,wc2026_cze,Chechia
83,CZE 14,Pavel Sulc,wc2026_cze,Chechia
84,CZE 15,Matej Vydra,wc2026_cze,Chechia
85,CZE 16,Vasil Kusej,wc2026_cze,Chechia
86,CZE 17,Tomas Chory,wc2026_cze,Chechia
87,CZE 18,Vaclav Cerny,wc2026_cze,Chechia
88,CZE 19,Adam Hlozek,wc2026_cze,Chechia
89,CZE 20,Patrick Schick,wc2026_cze,Chechia
90,CAN 1,Canada Badge,wc2026_can,Canada
91,CAN 2,Dayne St.Clair,wc2026_can,Canada
92,CAN 3,Alphonso Davies,wc2026_can,Canada
93,CAN 4,Alistair Johnston,wc2026_can,Canada
94,CAN 5,Samuel Adekugbe,wc2026_can,Canada
95,CAN 6,Richie Laryea,wc2026_can,Canada
96,CAN 7,Derek Cornelius,wc2026_can,Canada
97,CAN 8,Moïse Bombito,wc2026_can,Canada
98,CAN 9,Kamal Miller,wc2026_can,Canada
99,CAN 10,Stephen Eustáquio,wc2026_can,Canada
100,CAN 11,Ismaël Koné,wc2026_can,Canada
101,CAN 12,Jonathan Osorio,wc2026_can,Canada
102,CAN 13,Canada Team,wc2026_can,Canada
103,CAN 14,Jacob Shaffelburg,wc2026_can,Canada
104,CAN 15,Mathieu Choinière,wc2026_can,Canada
105,CAN 16,Niko Sigur,wc2026_can,Canada
106,CAN 17,Tajon Buchanan,wc2026_can,Canada
107,CAN 18,Liam Millar,wc2026_can,Canada
108,CAN 19,Cyle Larin,wc2026_can,Canada
109,CAN 20,Jonathan David,wc2026_can,Canada
110,BIH 1,Bosnia-Herzegovina Badge,wc2026_bih,Bosnia-Herzegovina
111,BIH 2,Nikola Vasilj,wc2026_bih,Bosnia-Herzegovina
112,BIH 3,Amar Dedic,wc2026_bih,Bosnia-Herzegovina
113,BIH 4,Sead Kolasinac,wc2026_bih,Bosnia-Herzegovina
114,BIH 5,Tarik Muharemovic,wc2026_bih,Bosnia-Herzegovina
115,BIH 6,Nihad Mujakic,wc2026_bih,Bosnia-Herzegovina
116,BIH 7,Nikola Katic,wc2026_bih,Bosnia-Herzegovina
117,BIH 8,Amir Hadziahmetovic,wc2026_bih,Bosnia-Herzegovina
118,BIH 9,Benjamin Tahirovic,wc2026_bih,Bosnia-Herzegovina
119,BIH 10,Armin Gigovic,wc2026_bih,Bosnia-Herzegovina
120,BIH 11,Ivan Sunjic,wc2026_bih,Bosnia-Herzegovina
121,BIH 12,Ivan Basic,wc2026_bih,Bosnia-Herzegovina
122,BIH 13,Bosnia-Herzegovina Team,wc2026_bih,Bosnia-Herzegovina
123,BIH 14,Dzenis Burnic,wc2026_bih,Bosnia-Herzegovina
124,BIH 15,Esmir Bajraktarevic,wc2026_bih,Bosnia-Herzegovina
125,BIH 16,Amar Memic,wc2026_bih,Bosnia-Herzegovina
126,BIH 17,Ermedin Demirovic,wc2026_bih,Bosnia-Herzegovina
127,BIH 18,Edin Dzeko,wc2026_bih,Bosnia-Herzegovina
128,BIH 19,Samed Bazdar,wc2026_bih,Bosnia-Herzegovina
129,BIH 20,Haris Tabakovic,wc2026_bih,Bosnia-Herzegovina
130,QAT 1,Qatar Badge,wc2026_qat,Qatar
131,QAT 2,Meshaal Barsham,wc2026_qat,Qatar
132,QAT 3,Sultan Albrake,wc2026_qat,Qatar
133,QAT 4,Lucas Mendes,wc2026_qat,Qatar
134,QAT 5,Homam Ahmed,wc2026_qat,Qatar
135,QAT 6,Boualem Khoukhi,wc2026_qat,Qatar
136,QAT 7,Pedro Miguel,wc2026_qat,Qatar
137,QAT 8,Tarek Salman,wc2026_qat,Qatar
138,QAT 9,Mohammed Mannai,wc2026_qat,Qatar
139,QAT 10,Karim Boudiaf,wc2026_qat,Qatar
140,QAT 11,Assim Madibo,wc2026_qat,Qatar
141,QAT 12,Hamed Fatehi,wc2026_qat,Qatar
142,QAT 13,Qatar Team,wc2026_qat,Qatar
143,QAT 14,Mohammed Waad,wc2026_qat,Qatar
144,QAT 15,Abdulaziz Hatem,wc2026_qat,Qatar
145,QAT 16,Hassan Al-Haydos,wc2026_qat,Qatar
146,QAT 17,Edmílson Junior,wc2026_qat,Qatar
147,QAT 18,Akram Hassan Afif,wc2026_qat,Qatar
148,QAT 19,Ahmed Al-Ganehi,wc2026_qat,Qatar
149,QAT 20,Almoez Ali,wc2026_qat,Qatar
150,SUI 1,Switzerland Badge,wc2026_sui,Switzerland
151,SUI 2,Gregor Kobel,wc2026_sui,Switzerland
152,SUI 3,Yvon Mvogo,wc2026_sui,Switzerland
153,SUI 4,Manuel Akanji,wc2026_sui,Switzerland
154,SUI 5,Ricardo Rodríguez,wc2026_sui,Switzerland
155,SUI 6,Nico Elvedi,wc2026_sui,Switzerland
156,SUI 7,Aurèle Amenda,wc2026_sui,Switzerland
157,SUI 8,Silvan Widmer,wc2026_sui,Switzerland
158,SUI 9,Granit Xhaka,wc2026_sui,Switzerland
159,SUI 10,Denis Zakaria,wc2026_sui,Switzerland
160,SUI 11,Remo Freuler,wc2026_sui,Switzerland
161,SUI 12,Fabian Rieder,wc2026_sui,Switzerland
162,SUI 13,Switzerland Team,wc2026_sui,Switzerland
163,SUI 14,Ardon Jashari,wc2026_sui,Switzerland
164,SUI 15,Johan Manzambi,wc2026_sui,Switzerland
165,SUI 16,Michel Aebischer,wc2026_sui,Switzerland
166,SUI 17,Breel Embolo,wc2026_sui,Switzerland
167,SUI 18,Rubén Vargas,wc2026_sui,Switzerland
168,SUI 19,Dan Ndoye,wc2026_sui,Switzerland
169,SUI 20,Zeki Amdouni,wc2026_sui,Switzerland
170,BRA 1,Brazil Badge,wc2026_bra,Brazil
171,BRA 2,Alisson,wc2026_bra,Brazil
172,BRA 3,Bento,wc2026_bra,Brazil
173,BRA 4,Marquinhos,wc2026_bra,Brazil
174,BRA 5,Éder Militao,wc2026_bra,Brazil
175,BRA 6,Gabriel Magalhaes,wc2026_bra,Brazil
176,BRA 7,Danilo,wc2026_bra,Brazil
177,BRA 8,Wesley,wc2026_bra,Brazil
178,BRA 9,Lucas Paquetá,wc2026_bra,Brazil
179,BRA 10,Casemiro,wc2026_bra,Brazil
180,BRA 11,Bruno Guimaraes,wc2026_bra,Brazil
181,BRA 12,Luiz Henrique,wc2026_bra,Brazil
182,BRA 13,Brazil Team,wc2026_bra,Brazil
183,BRA 14,Vinícius Júnior,wc2026_bra,Brazil
184,BRA 15,Rodrygo,wc2026_bra,Brazil
185,BRA 16,Joao Pedro,wc2026_bra,Brazil
186,BRA 17,Matheus Cunha,wc2026_bra,Brazil
187,BRA 18,Gabriel Martinelli,wc2026_bra,Brazil
